French,English
partie,gone
histoire,history
seulement,only
police,police
aide,help
demande,request
genre,kind
frère,brother
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
parle,speak
compris,understood
étaient,were
attention,Warning
affaire,case
type,type
leurs,their
donné,given
corps,body
endroit,place
main,hand
pouvoir,power
vieux,old
sois,be
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
minutes,minutes
demandé,request
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
boulot,job
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
jouer,to play
bureau,office
